path,sample,time_s,radius_m,angle_deg,target_x_m,target_y_m,x_m,y_m,z_m,theta1_deg,theta2_deg,theta3_deg,torque1_nm,torque2_nm,torque3_nm
quarter_circle_workspace,12372,54.02620087336244,0.20500000000000002,3.0,-0.11528094537531236,-0.30927112897019654,-0.11528103026323297,-0.30927110581041684,0.0,85.82040664373488,-126.6008345853296,13.624885515445877,-1.9919634623205222,1.1436268612651224,-2.4859191057056345
quarter_circle_workspace,12373,54.03056768558952,0.20500000000000002,2.0,-0.11512488046108535,-0.3128456031759873,-0.11512496307461617,-0.31284557940819246,1.3877787807814457e-17,84.95461472561101,-126.03808849150064,12.389835292919088,-2.067989542456854,1.035748382388986,-2.2779350261948186
quarter_circle_workspace,12374,54.03493449781659,0.20500000000000002,1.0,-0.11503122249293979,-0.3164222566803569,-0.1150313059994834,-0.31642223094015665,-1.3877787807814457e-17,84.0747844842687,-125.47374676977864,11.170332916478136,4.421692920449048,-1.0447326448670533,0.09543599361800077
quarter_circle_workspace,12375,54.03930131004366,0.20500000000000002,0.0,-0.11499999999999999,-0.32,-0.11500008550887929,-0.31999997171340017,2.0816681711721685e-17,83.18219181676731,-124.90328833334003,9.956180972242159,15.638830817878745,-2.6703377318438415,4.837275799331957
quarter_circle_workspace,12376,54.04366812227074,0.20400000000000001,0.0,-0.11599999999999999,-0.32,-0.11600002513939461,-0.31999999681807245,-1.3877787807814457e-17,83.57996020270112,-125.21029108892742,9.734742563192372,14.086338450085444,-0.857723869418092,6.413707387375304
quarter_circle_workspace,12377,54.048034934497814,0.20400000000000001,1.0,-0.11603107018809616,-0.3164397090867942,-0.11603110329577479,-0.31643966963117703,-1.3877787807814457e-17,84.56123148358705,-125.317520487176,9.960920449312624,4.291062942302449,-1.6433312227409995,5.931892486408252
quarter_circle_workspace,12378,54.05240174672489,0.20400000000000001,2.0,-0.11612427128810446,-0.3128805026726898,-0.11612431458093894,-0.3128804223353649,1.3877787807814457e-17,85.4911952561809,-125.69614813655679,10.764653269520299,0.8596611170254317,-3.1222892422314206,5.260741411100744
quarter_circle_workspace,12379,54.056768558951966,0.20400000000000001,3.0,-0.11627957491006694,-0.3093234649264395,-0.11627962158297456,-0.30932338477017635,0.0,86.37431077854153,-126.26498465610828,11.987446791922538,1.2700139773503496,-1.749858291215696,3.4011636868182498
quarter_circle_workspace,12380,54.061135371179034,0.20400000000000001,4.0,-0.11649693374699585,-0.3057696793561984,-0.11649698276986524,-0.30576960046867685,6.938893903907228e-18,87.24475960930002,-126.8262313910706,13.212614046544235,1.4643046018239785,-1.07190070363195,2.419991768416778
quarter_circle_workspace,12381,54.06550218340611,0.20400000000000001,5.0,-0.11677628158928391,-0.3022202284794777,-0.1167763322846751,-0.30222015149725373,-1.3877787807814457e-17,88.10306560806592,-127.37783862310978,14.435629914891908,1.4535392273381216,-1.0316616864152748,2.3836672514419557
quarter_circle_workspace,12382,54.069868995633186,0.20400000000000001,6.0,-0.11711753334487224,-0.2986761934933987,-0.11711758522140753,-0.2986761188149283,1.3877787807814457e-17,88.94973917666707,-127.91855818983322,15.65349637679189,1.4434223060286333,-0.9954416810886667,2.350026648952506
quarter_circle_workspace,12383,54.07423580786026,0.20400000000000001,7.0,-0.1175205850651703,-0.29513865394534994,-0.11752063772911372,-0.29513858183877417,-1.3877787807814457e-17,89.78530490384007,-128.4475595315677,16.863984020275144,1.4345300711612439,-0.9611272947477888,2.3163278686936626
quarter_circle_workspace,12384,54.07860262008733,0.20400000000000001,8.0,-0.11798531397671963,-0.29160868740414664,-0.11798536708691557,-0.2916086180609339,0.0,90.61031777805911,-128.96423988498896,18.065253504651313,1.4272010673192426,-0.9277174614429158,2.2812239807015877
quarter_circle_workspace,12385,54.08296943231441,0.20400000000000001,9.0,-0.1185115785185919,-0.2880873691317929,-0.11851163176435608,-0.2880873026933154,0.0,91.42537155999182,-129.46813045844854,19.25566771157246,1.515064952149884,-0.7577641525706945,2.0093328685699325
quarter_circle_workspace,12386,54.08733624454148,0.20400000000000001,10.0,-0.11909921838550955,-0.2845757717559462,-0.11909927147634321,-0.2845757083267839,2.0816681711721685e-17,92.231102108225,-129.9588498006513,20.433699201835655,1.4827199464691745,-0.7563443167057867,1.9889375001296687
