sample,time_s,target_x_m,target_y_m,x_m,y_m,z_m,theta1_deg,theta2_deg,theta3_deg,torque1_nm,torque2_nm,torque3_nm
44,0.88,0.2416,0.0,0.2416,-8.326672684688674e-17,-1.3877787807814457e-17,70.05321343639463,-108.97024555974505,8.917032123350408,-0.20543962058635437,0.3224407587328784,-0.11687572640813806
45,0.9,0.243,0.0,0.2430000000000001,-8.326672684688674e-17,-1.3877787807814457e-17,69.58196716920726,-108.23354318010011,8.651576010892859,-0.20537919023617404,0.3244347010651856,-0.11895507760093772
46,0.92,0.2444,0.0,0.2444,4.163336342344337e-17,0.0,69.1109612017071,-107.49230249095717,8.381341289250098,-0.20535742197972398,0.3264586309739506,-0.12102561902987025
47,0.9400000000000001,0.2458,0.0,0.24580000000000002,-8.326672684688674e-17,0.0,68.64010645655883,-106.7464565965659,8.106350140007075,-0.2053742600302972,0.3285141816550496,-0.12308907335034712
48,0.96,0.2472,0.0,0.24720000000000003,-1.3877787807814457e-17,0.0,68.16931412190758,-105.99593490859395,7.826620786686375,-0.20542970235256655,0.3306030366515458,-0.1251471600476888
49,0.98,0.2486,0.0,0.24860000000000002,3.469446951953614e-17,-1.3877787807814457e-17,67.69849552933243,-105.24066303563356,7.542167506301134,-0.20552380148410834,0.3327269344121187,-0.12720159927953273
50,1.0,0.25,0.0,0.25,-2.7755575615628914e-17,6.938893903907228e-18,67.22756203035432,-104.48056266253946,7.2530006321851515,-0.20565666554484213,0.33488767312944834,-0.12925411581610333
51,1.02,0.2514,0.0,0.25140000000000007,-1.3877787807814457e-17,-1.3877787807814457e-17,66.75642487109161,-103.71555141898702,6.959126547895407,-0.20582845944593495,0.337087115888899,-0.13130644309760814
52,1.04,0.2528,0.0,0.2528,-9.71445146547012e-17,0.0,66.28499506463257,-102.94554273657286,6.660547671940259,-0.20603940631098858,0.3393271961605747,-0.13336032742965354
53,1.06,0.2542,0.0,0.2542,1.457167719820518e-16,0.0,65.81318326066861,-102.17044569370829,6.35726243303972,-0.2062897891247909,0.34160992367122994,-0.1354175323391679
54,1.08,0.2556,0.0,0.2556,-5.551115123125783e-17,-1.3877787807814457e-17,65.34089961190023,-101.39016484747552,6.049265235575288,-0.20657995262615664,0.3439373906968504,-0.13747984311561065
55,1.1,0.257,0.0,0.25700000000000006,2.0816681711721685e-17,-1.3877787807814457e-17,64.86805363669544,-100.60460005152773,5.736546414832298,-0.20691030546427425,0.3463117788207634,-0.139549071565069
56,1.12,0.2584,0.0,0.2584000000000001,7.632783294297951e-17,-1.3877787807814457e-17,64.39455407743979,-99.81364625901593,5.419092181576178,-0.2072813226394842,0.3487353662071994,-0.14162706100655514
57,1.1400000000000001,0.2598,0.0,0.25980000000000003,6.938893903907228e-18,0.0,63.92030875397531,-99.01719330941683,5.096884555441493,-0.20769354825273453,0.35121053544591496,-0.14371569154364877
58,1.16,0.2612,0.0,0.2612,4.163336342344337e-17,0.0,63.44522441147632,-98.21512569801443,4.769901286538129,-0.20814759859154552,0.35373978202997614,-0.14581688564826006
59,1.18,0.2626,0.0,0.2626,-5.551115123125783e-17,-1.3877787807814457e-17,62.969206562053444,-97.40732232665339,4.438115764599932,-0.208644165582683,0.3563257235363239,-0.14793261409654918
60,1.2,0.264,0.0,0.264,-6.938893903907228e-18,0.0,62.49215931931664,-96.59365623422975,4.101496914913129,-0.2091840206470552,0.3589711095866535,-0.15006490230232605
61,1.22,0.26539999999999997,0.0,0.2654,1.3183898417423734e-16,-1.3877787807814457e-17,62.01398522505464,-95.7739943052176,3.7600090801629853,-0.20976801899584946,0.36167883267613876,-0.15221583709829745
62,1.24,0.2668,0.0,0.2668,6.938893903907228e-17,0.0,61.53458506711075,-94.94819695433837,3.4136118872276313,-0.2103971044130612,0.3644519399684263,-0.15438757402148892
63,1.26,0.2682,0.0,0.2682,0.0,0.0,61.05385768744262,-94.11611778526799,3.0622600978253565,-0.2110723145756312,0.36729364616780186,-0.15658234516621902
64,1.28,0.2696,0.0,0.26959999999999995,-2.7755575615628914e-17,6.938893903907228e-18,60.57169977925042,-93.27760322103447,2.705903441784025,-0.21179478696813397,0.3702073475940116,-0.15880246767597594
65,1.3,0.271,0.0,0.2710000000000001,-3.469446951953614e-17,0.0,60.08800567194287,-92.43249210348921,2.3444864315463456,-0.21256576545870756,0.3731966376018328,-0.1610503529547669
66,1.32,0.2724,0.0,0.2724,5.551115123125783e-17,0.0,59.602667102575836,-91.58061525892595,1.9779481563501213,-0.21338660761107575,0.376265323506895,-0.16332851668917267
67,1.34,0.2738,0.0,0.27380000000000004,0.0,-1.3877787807814457e-17,59.11557297224797,-90.72179502657332,1.6062220543253745,-0.21425879281815835,0.3794174452013574,-0.16563958978489252
68,1.36,0.2752,0.0,0.2752,-6.245004513516506e-17,-1.3877787807814457e-17,58.626609085765736,-89.85584474629081,1.2292356605250805,-0.21518393135627023,0.38265729566927115,-0.16798633033564028
69,1.3800000000000001,0.2766,0.0,0.27659999999999996,2.0816681711721685e-17,1.3877787807814457e-17,58.13565787269133,-88.98256820134424,0.8469103286529172,-0.21616377447199384,0.3859894436413872,-0.17037163675931455
70,1.4000000000000001,0.278,0.0,0.278,3.469446951953614e-17,-1.3877787807814457e-17,57.64259808766308,-88.10175901162198,0.45916092395890423,-0.21720022563146094,0.3894187586644293,-0.17279856225581283
71,1.42,0.2794,0.0,0.2794,-1.3183898417423734e-16,0.0,57.14730448761738,-87.21319997205998,0.0658954844425712,-0.21829535308193548,0.3929504389010949,-0.17527033076368478
72,1.44,0.2808,0.0,0.2808,-6.938893903907228e-18,0.0,56.6496474832436,-86.31666233036458,-0.3329851528790108,-0.21945140389798873,0.3965900420253474,-0.17779035461994663
73,1.46,0.2822,0.0,0.2822,-6.938893903907228e-17,-1.3877787807814457e-17,56.14949276165888,-85.4119049973392,-0.7375877643196862,-0.22067081971247068,0.4003435196347711,-0.18036225415885115
74,1.48,0.2836,0.0,0.2836000000000001,-2.7755575615628914e-17,0.0,55.646700876893256,-84.49867368221655,-1.1480271946767036,-0.22195625436498553,0.40421725566859623,-0.18298987952316015
75,1.5,0.28500000000000003,0.0,0.28500000000000003,-4.163336342344337e-17,0.0,55.141126804313075,-83.57669994435156,-1.5644268599615039,-0.22331059373853282,0.4082181094000608,-0.18567733500556743
