path,sample,radius_m,angle_deg,target_x_m,target_y_m,final_x_m,final_y_m,theta1_deg,theta2_deg,theta3_deg
quarter_circle_workspace,1984,0.319,17.0,-0.01493878284779171,-0.226733426193447,-0.014938874401280264,-0.22673343933158172,59.083205590100896,-68.88720508468818,6.083652501367746
quarter_circle_workspace,1985,0.319,16.0,-0.013357518995676276,-0.2320716834943773,-0.013357615377580095,-0.23207169534197544,58.12816564483278,-68.40754748009637,5.076750763591449
quarter_circle_workspace,1986,0.319,14.999999999999998,-0.011869661413787203,-0.23743672461229587,-0.011869750320899125,-0.23743673463846238,57.16758040415619,-67.87836303921233,3.9897288228152203
quarter_circle_workspace,1987,0.319,14.0,-0.010475663317957129,-0.24282691530370598,-0.010475753441621799,-0.24282692391538693,56.19707800086976,-67.3473945148947,2.9225484102580133
quarter_circle_workspace,1988,0.319,13.0,-0.009175949333509958,-0.24824061366430705,-0.009176043712154691,-0.24824062085227155,55.217545995078886,-66.80230796295747,1.8499364780676355
quarter_circle_workspace,1989,0.319,12.0,-0.007970915365915987,-0.2536761706291348,-0.007971015143195884,-0.25367617625335215,54.22889658663814,-66.23873903711159,0.7638897111561872
quarter_circle_workspace,1990,0.319,11.0,-0.006860928480195205,-0.2591319304748822,-0.0068610209537925265,-0.25913193475418106,53.23059041662431,-65.62243143162456,-0.3987283148916904
quarter_circle_workspace,1991,0.319,10.0,-0.005846326789105627,-0.2646062313242492,-0.005846420366416125,-0.2646062341298295,52.22177498178532,-65.00566640591302,-1.5376253856990767
quarter_circle_workspace,1992,0.319,9.0,-0.004927419350151063,-0.27009740565216633,-0.0049275167665014385,-0.2700974068137001,51.20255838633659,-64.37519856198371,-2.677934321932727
quarter_circle_workspace,1993,0.319,8.0,-0.00410448607143904,-0.27560378079373915,-0.004104576259903001,-0.27560378096237975,50.17090893630122,-63.69424074878003,-3.8840255335235696
quarter_circle_workspace,1994,0.319,7.0,-0.003377777626418277,-0.28112367945375794,-0.003377868740006243,-0.28112367818093686,49.12873580076847,-63.01476288974197,-5.062623662242659
quarter_circle_workspace,1995,0.319,6.0,-0.002747515377520826,-0.2866554202176186,-0.002747609892152156,-0.2866554172554286,48.07552948136211,-62.322480685871696,-6.239338136065729
quarter_circle_workspace,1996,0.319,5.0,-0.0022138913087331735,-0.292197318063497,-0.002213990007723765,-0.2921973132338222,47.010921110438126,-61.61323186731127,-7.421065829749832
